player_name,position,team,season,games,fg_made,fg_att,fg_pct,fg_long,pat_made,pat_att,source
Aldrick Rosas,K,JAX,2020,6,8,11,0.727272727272727,54,9,9,nflverse
Sam Ficken,K,NYJ,2020,9,13,15,0.866666666666667,54,12,15,nflverse
Harrison Butker,K,KC,2020,16,25,27,0.925925925925926,58,48,54,nflverse
Younghoe Koo,K,ATL,2020,15,37,39,0.948717948717949,54,33,36,nflverse
Jake Elliott,K,PHI,2020,16,14,19,0.736842105263158,54,24,26,nflverse
Zane Gonzalez,K,ARI,2020,12,16,22,0.727272727272727,56,38,39,nflverse
Mike Badgley,K,LAC,2020,16,24,33,0.727272727272727,53,36,39,nflverse
Daniel Carlson,K,LV,2020,16,33,35,0.942857142857143,54,45,47,nflverse
Jason Sanders,K,MIA,2020,16,36,39,0.923076923076923,56,36,36,nflverse
Joey Slye,K,CAR,2020,16,29,36,0.805555555555556,56,33,36,nflverse
Matt Gay,K,LA,2020,7,14,16,0.875,51,16,16,nflverse
Rodrigo Blankenship,K,IND,2020,16,32,37,0.864864864864865,53,43,45,nflverse
Tyler Bass,K,BUF,2020,16,28,34,0.823529411764706,58,57,59,nflverse
Sam Sloman,K,TEN,2020,8,10,13,0.769230769230769,47,23,26,nflverse
Robbie Gould,K,SF,2021,13,20,23,0.869565217391304,52,39,40,nflverse
Matt Prater,K,ARI,2021,17,30,37,0.810810810810811,62,47,49,nflverse
Nick Folk,K,NE,2021,17,36,39,0.923076923076923,53,42,47,nflverse
Mason Crosby,K,GB,2021,17,25,34,0.735294117647059,54,49,51,nflverse
Graham Gano,K,NYG,2021,17,29,33,0.878787878787879,55,17,17,nflverse
Ryan Succop,K,TB,2021,17,25,30,0.833333333333333,48,56,59,nflverse
Randy Bullock,K,TEN,2021,16,26,31,0.838709677419355,51,42,45,nflverse
Justin Tucker,K,BAL,2021,17,35,37,0.945945945945946,66,32,32,nflverse
Greg Zuerlein,K,DAL,2021,16,29,35,0.828571428571429,56,42,48,nflverse
Brandon McManus,K,DEN,2021,17,26,31,0.838709677419355,61,33,34,nflverse
Dustin Hopkins,K,LAC,2021,17,30,34,0.882352941176471,50,40,44,nflverse
Brett Maher,K,NO,2021,8,16,18,0.888888888888889,42,10,12,nflverse
Chris Boswell,K,PIT,2021,17,36,40,0.9,56,27,29,nflverse
Cairo Santos,K,CHI,2021,17,26,30,0.866666666666667,47,27,28,nflverse
Jason Myers,K,SEA,2021,17,17,23,0.739130434782609,53,44,47,nflverse
Ka'imi Fairbairn,K,HOU,2021,13,15,19,0.789473684210526,61,13,16,nflverse
Harrison Butker,K,KC,2021,16,25,28,0.892857142857143,56,47,49,nflverse
Younghoe Koo,K,ATL,2021,17,27,29,0.931034482758621,54,30,30,nflverse
Jake Elliott,K,PHI,2021,17,30,33,0.909090909090909,58,44,44,nflverse
Zane Gonzalez,K,CAR,2021,12,20,22,0.909090909090909,57,22,23,nflverse
Mike Badgley,K,IND,2021,13,18,22,0.818181818181818,46,40,41,nflverse
Daniel Carlson,K,LV,2021,17,40,43,0.930232558139535,56,30,33,nflverse
Greg Joseph,K,MIN,2021,17,33,38,0.868421052631579,55,36,40,nflverse
Jason Sanders,K,MIA,2021,17,23,31,0.741935483870968,51,34,35,nflverse
Austin Seibert,K,DET,2021,6,10,12,0.833333333333333,52,5,5,nflverse
Matthew Wright,K,JAX,2021,14,21,24,0.875,56,13,15,nflverse
Joey Slye,K,WAS,2021,12,23,25,0.92,56,18,22,nflverse
Matt Gay,K,LA,2021,17,32,34,0.941176470588235,55,48,49,nflverse
